model,precision,gsm8k,arc_challenge,hellaswag,humaneval,ifeval,mgsm
qwen2.5-3b-instruct,fp16,,,,,,
qwen2.5-3b-instruct,int8,,,,,,
qwen2.5-3b-instruct,int4_gptq,,,,,,
llama-3.2-3b-instruct,fp16,,,,,,
llama-3.2-3b-instruct,int8,,,,,,
llama-3.2-3b-instruct,int4_gptq,,,,,,
gemma-2-2b-it,fp16,,,,,,
gemma-2-2b-it,int8,,,,,,
gemma-2-2b-it,int4_gptq,,,,,,
phi-3.5-mini-instruct,fp16,,,,,,
phi-3.5-mini-instruct,int8,,,,,,
phi-3.5-mini-instruct,int4_gptq,,,,,,
smollm2-1.7b-instruct,fp16,,,,,,
smollm2-1.7b-instruct,int8,,,,,,
smollm2-1.7b-instruct,int4_gptq,,,,,,
qwen2.5-1.5b-instruct,fp16,,,,,,
qwen2.5-1.5b-instruct,int8,,,,,,
qwen2.5-1.5b-instruct,int4_gptq,,,,,,
llama-3.2-1b-instruct,fp16,,,,,,
llama-3.2-1b-instruct,int8,,,,,,
llama-3.2-1b-instruct,int4_gptq,,,,,,
